Round1 Proposals:	['5', '3']
Round2 Proposals:	['4', '1']
Round3 Proposals:	['3', '2']
Round4 Proposals:	['1', '1']
Round5 Proposals:	['2', '2']
Round6 Proposals:	['2', '1']
Round6 Proposals:	['2', '1']
Round6 Proposals:	['2', '1']
Round6 Proposals:	['2', '1']
Round7 Proposals:	['5', '1']
Round7 Proposals:	['5', '1']
Round8 Proposals:	['5', '2']
Round9 Proposals:	['4', '2']
Round9 Proposals:	['4', '2']
Round9 Proposals:	['4', '2']
Round10 Proposals:	['3', '1']
Round10 Proposals:	['3', '1']
Round10 Proposals:	['3', '1']
Round10 Proposals:	['3', '1']
Round10 Proposals:	['3', '1']
